date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-12,PB,,state,26556,610,True,4018127,25,660.90494,0.023
2020-06-11,PB,,state,25370,570,False,4018127,25,631.3887,0.0225
2020-06-10,PB,,state,24032,559,False,4018127,25,598.08961,0.0233
2020-06-09,PB,,state,22452,534,False,4018127,25,558.7678,0.0238
2020-06-08,PB,,state,20951,507,False,4018127,25,521.41209,0.0242
2020-06-07,PB,,state,20951,507,False,4018127,25,521.41209,0.0242
2020-06-06,PB,,state,19787,467,False,4018127,25,492.44337,0.0236
2020-06-05,PB,,state,18579,451,False,4018127,25,462.37961,0.0243
2020-06-04,PB,,state,17579,438,False,4018127,25,437.49239,0.0249
2020-06-03,PB,,state,16018,414,False,4018127,25,398.64345,0.0258
2020-06-02,PB,,state,14859,379,False,4018127,25,369.79916,0.0255
2020-06-01,PB,,state,13695,370,False,4018127,25,340.83044,0.027
2020-05-31,PB,,state,13162,360,False,4018127,25,327.56555,0.0274
2020-05-30,PB,,state,12862,346,False,4018127,25,320.09939,0.0269
2020-05-29,PB,,state,12011,327,False,4018127,25,298.92037,0.0272
2020-05-28,PB,,state,11132,318,False,4018127,25,277.0445,0.0286
2020-05-27,PB,,state,10209,298,False,4018127,25,254.0736,0.0292
2020-05-26,PB,,state,8919,286,False,4018127,25,221.96909,0.0321
2020-05-25,PB,,state,8016,279,False,4018127,25,199.49593,0.0348
2020-05-24,PB,,state,7823,272,False,4018127,25,194.6927,0.0348
2020-05-23,PB,,state,7508,258,False,4018127,25,186.85323,0.0344
2020-05-22,PB,,state,6882,248,False,4018127,25,171.27383,0.036
2020-05-21,PB,,state,6238,245,False,4018127,25,155.24646,0.0393
2020-05-20,PB,,state,5838,230,False,4018127,25,145.29157,0.0394
2020-05-19,PB,,state,5300,219,False,4018127,25,131.90225,0.0413
2020-05-18,PB,,state,4786,207,False,4018127,25,119.11022,0.0433
2020-05-17,PB,,state,4347,194,False,4018127,25,108.18473,0.0446
2020-05-16,PB,,state,4063,183,False,4018127,25,101.11676,0.045
2020-05-15,PB,,state,3739,170,False,4018127,25,93.05331,0.0455
2020-05-14,PB,,state,3361,160,False,4018127,25,83.64594,0.0476
2020-05-13,PB,,state,3045,157,False,4018127,25,75.78158,0.0516
2020-05-12,PB,,state,2777,154,False,4018127,25,69.1118,0.0555
2020-05-11,PB,,state,2525,139,False,4018127,25,62.84022,0.055
2020-05-10,PB,,state,2341,135,False,4018127,25,58.26098,0.0577
2020-05-09,PB,,state,2156,124,False,4018127,25,53.65684,0.0575
2020-05-08,PB,,state,2030,114,False,4018127,25,50.52105,0.0562
2020-05-07,PB,,state,1849,111,False,4018127,25,46.01646,0.06
2020-05-06,PB,,state,1657,101,False,4018127,25,41.23812,0.061
2020-05-05,PB,,state,1493,92,False,4018127,25,37.15662,0.0616
2020-05-04,PB,,state,1361,85,False,4018127,25,33.8715,0.0625
2020-05-03,PB,,state,1219,79,False,4018127,25,30.33752,0.0648
2020-05-02,PB,,state,1169,76,False,4018127,25,29.09316,0.065
2020-05-01,PB,,state,1034,74,False,4018127,25,25.73338,0.0716
2020-04-30,PB,,state,926,67,False,4018127,25,23.04556,0.0724
2020-04-29,PB,,state,814,62,False,4018127,25,20.25819,0.0762
2020-04-28,PB,,state,698,57,False,4018127,25,17.37128,0.0817
2020-04-27,PB,,state,633,53,False,4018127,25,15.75361,0.0837
2020-04-26,PB,,state,543,50,False,4018127,25,13.51376,0.0921
2020-04-25,PB,,state,499,49,False,4018127,25,12.41872,0.0982
2020-04-24,PB,,state,447,46,False,4018127,25,11.12459,0.1029
2020-04-23,PB,,state,386,44,False,4018127,25,9.60647,0.114
2020-04-22,PB,,state,345,40,False,4018127,25,8.58609,0.1159
2020-04-21,PB,,state,301,39,False,4018127,25,7.49105,0.1296
2020-04-20,PB,,state,263,33,False,4018127,25,6.54534,0.1255
2020-04-19,PB,,state,245,32,False,4018127,25,6.09737,0.1306
2020-04-18,PB,,state,236,29,False,4018127,25,5.87338,0.1229
2020-04-17,PB,,state,205,28,False,4018127,25,5.10188,0.1366
2020-04-16,PB,,state,195,26,False,4018127,25,4.85301,0.1333
2020-04-15,PB,,state,165,24,False,4018127,25,4.10639,0.1455
2020-04-14,PB,,state,152,21,False,4018127,25,3.78286,0.1382
2020-04-13,PB,,state,136,16,False,4018127,25,3.38466,0.1176
2020-04-12,PB,,state,111,13,False,4018127,25,2.76248,0.1171
2020-04-11,PB,,state,101,13,False,4018127,25,2.51361,0.1287
2020-04-10,PB,,state,85,11,False,4018127,25,2.11541,0.1294
2020-04-09,PB,,state,79,11,False,4018127,25,1.96609,0.1392
2020-04-08,PB,,state,55,7,False,4018127,25,1.3688,0.1273
2020-04-07,PB,,state,41,4,False,4018127,25,1.02038,0.0976
2020-04-06,PB,,state,36,4,False,4018127,25,0.89594,0.1111
2020-04-05,PB,,state,35,4,False,4018127,25,0.87105,0.1143
2020-04-04,PB,,state,34,3,False,4018127,25,0.84617,0.0882
2020-04-03,PB,,state,32,1,False,4018127,25,0.79639,0.0312
2020-04-02,PB,,state,29,1,False,4018127,25,0.72173,0.0345
2020-04-01,PB,,state,21,1,False,4018127,25,0.52263,0.0476
2020-03-31,PB,,state,18,1,False,4018127,25,0.44797,0.0556
2020-03-30,PB,,state,17,0,False,4018127,25,0.42308,0.0
2020-03-29,PB,,state,14,0,False,4018127,25,0.34842,0.0
2020-03-28,PB,,state,14,0,False,4018127,25,0.34842,0.0
2020-03-27,PB,,state,10,0,False,4018127,25,0.24887,0.0
2020-03-26,PB,,state,6,0,False,4018127,25,0.14932,0.0
2020-03-25,PB,,state,5,0,False,4018127,25,0.12444,0.0
2020-03-24,PB,,state,3,0,False,4018127,25,0.07466,0.0
2020-03-23,PB,,state,2,0,False,4018127,25,0.04977,0.0
2020-03-22,PB,,state,1,0,False,4018127,25,0.02489,0.0
2020-03-21,PB,,state,1,0,False,4018127,25,0.02489,0.0
2020-03-20,PB,,state,1,0,False,4018127,25,0.02489,0.0
2020-03-19,PB,,state,1,0,False,4018127,25,0.02489,0.0
2020-03-18,PB,,state,1,0,False,4018127,25,0.02489,0.0
2020-03-17,PB,,state,0,0,False,4018127,25,,0.0
2020-03-16,PB,,state,0,0,False,4018127,25,,0.0
2020-03-15,PB,,state,0,0,False,4018127,25,,0.0
2020-03-14,PB,,state,0,0,False,4018127,25,,0.0
2020-03-13,PB,,state,0,0,False,4018127,25,,0.0
2020-03-12,PB,,state,0,0,False,4018127,25,,0.0
