data,ultima_atualizacao,mesorregiao,confirmadosAcumulados,mortesAcumuladas
2020-06-02,True,AGRESTE PARAIBANO,4304,48
2020-06-02,True,BORBOREMA,507,9
2020-06-02,True,MATA PARAIBANA,8471,268
2020-06-02,True,SERTAO PARAIBANO,1367,45
2020-06-01,False,AGRESTE PARAIBANO,3936,48
2020-06-01,False,BORBOREMA,430,8
2020-06-01,False,MATA PARAIBANA,7875,262
2020-06-01,False,SERTAO PARAIBANO,1275,43
2020-05-31,False,AGRESTE PARAIBANO,3813,43
2020-05-31,False,BORBOREMA,415,8
2020-05-31,False,MATA PARAIBANA,7525,258
2020-05-31,False,SERTAO PARAIBANO,1234,42
2020-05-30,False,AGRESTE PARAIBANO,3736,37
2020-05-30,False,BORBOREMA,395,8
2020-05-30,False,MATA PARAIBANA,7373,250
2020-05-30,False,SERTAO PARAIBANO,1193,42
2020-05-29,False,AGRESTE PARAIBANO,3380,37
2020-05-29,False,BORBOREMA,359,7
2020-05-29,False,MATA PARAIBANA,7008,233
2020-05-29,False,SERTAO PARAIBANO,1124,41
2020-05-28,False,AGRESTE PARAIBANO,3067,37
2020-05-28,False,BORBOREMA,330,7
2020-05-28,False,MATA PARAIBANA,6582,233
2020-05-28,False,SERTAO PARAIBANO,1025,41